sample,Acetivibrio,Acetobacter,Achromobacter,Acidaminococcus,Acidiphilium,Acidobacterium,Acidocella,Acinetobacter,Actinomyces,Actinomycetospora,Actinopolyspora,Afipia,Agrobacterium,Agrococcus,Agromyces,Alcaligenes,Alicyclobacillus,Allobaculum,Anaerobranca,Anaerococcus,Anaerovorax,Aquamicrobium,Aquamonas,Arthrobacter,Aurantimonas,Azotobacter,Bacillus,Bacteriovorax,Bacteroides,Bdellovibrio,Beggiatoa,Bergeyella,Bifidobacterium,Blautia,Bordetella,Brachymonas,Bradyrhizobium,Brevibacillus,Brevibacterium,Brevundimonas,Burkholderia,Caedibacter,Caloramator,Candidatus_Armantifilum,Candidatus_Cryptoprodotis,Candidatus_Liberibacter,Candidatus_Midichloria,Candidatus_Nardonella,Candidatus_Symbiothrix,Carnobacterium,Catonella,Caulobacter,Cellulomonas,Cellulosimicrobium,Chlorobium,Chromobacterium,Chryseobacterium,Citrobacter,Clostridium,Cohnella,Collimonas,Coprococcus,Coraliomargarita,Corynebacterium,Cupriavidus,Curtobacterium,Dechlorospirillum,Desulfitobacterium,Desulfosporomusa,Desulfosporosinus,Desulfotomaculum,Desulfovibrio,Desulfurispirillum,Devosia,Duganella,Dyadobacter,Dysgonomonas,Elusimicrobium,Enterobacter,Enterococcus,Entomoplasma,environmental_samples,Epilithonimonas,Escherichia,Eubacterium,Exiguobacterium,Filimonas,Finegoldia,Flavobacterium,Flexibacter,Flexistipes,Fluviicola,Friedmanniella,Fulvimarina,Fusobacterium,Gemella,Gluconacetobacter,Glycomyces,Gordonia,Granulicatella,Guggenheimella,Gulosibacter,Haemophilus,Hahella,Halalkalibacillus,Hansschlegelia,Helcococcus,Helicobacter,Hoeflea,Holdemania,Holophaga,Hydrogenoanaerobacterium,Hyphomonas,Ignavibacterium,Isoptericola,Jeotgalicoccus,Klebsiella,Kordiimonas,Kurthia,Labrys,Lachnobacterium,Lacticigenium,Lactobacillus,Lactococcus,Leptotrichia,Leucobacter,Leuconostoc,Luteimonas,Lutispora,Lysinibacillus,Magnetococcus,Maricaulis,Marinobacterium,Marinomonas,Marinospirillum,Melissococcus,Mesorhizobium,Methanobrevibacter,Methylocella,Microbacterium,Micrococcus,Micromonospora,Mogibacterium,Mycobacterium,Mycoplasma,Nevskia,Niastella,Nocardioides,Novosphingobium,Ochrobactrum,Oenococcus,Oerskovia,Okadaella,Olivibacter,Oribacterium,Orientia,Paenibacillus,Paludibacter,Pantoea,Parabacteroides,Parachlamydia,Pectobacterium,Pedomicrobium,Pelagicoccus,Pelospora,Peptoniphilus,Phascolarctobacterium,Phormidium,Pilibacter,Planococcus,Porphyromonas,Prevotella,Prochlorococcus,Propionibacterium,Propionicimonas,Propionivibrio,Proteiniphilum,Pseudomonas,Pseudosphingobacterium,Puniceicoccus,Raoultella,Rarobacter,Rhizobium,Rhodococcus,Rhodospirillum,Rikenella,Robinsoniella,Roseburia,Rothia,Ruminococcus,Saccharothrix,Salimicrobium,Salmonella,Sciscionella,Sebaldella,Selenomonas,Shigella,Shinella,Sinorhizobium,Sphingobacterium,Sphingomonas,Sphingopyxis,Spirochaeta,Spiroplasma,Sporobacterium,Sporocytophaga,Sporosarcina,Staphylococcus,Stenotrophomonas,Stenoxybacter,Streptococcus,Sutterella,Symbiobacterium,Synergistes,Syntrophomonas,Syntrophus,Telmatospirillum,Tepidimicrobium,Tepidimonas,Terasakiella,Tessaracoccus,Tetrathiobacter,Thermohalobacter,Thermomonospora,Tindallia,Tistrella,Treponema,Tsukamurella,Turicibacter,Umezawaea,Uruburuella,Vagococcus,Variovorax,Vibrio,Wautersiella,Wolbachia,Xanthomonas,Xenorhabdus
S7,0,5,0,1,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1,2,5,0,0,0,0,7,0,6,0,0,0,1,6,0,0,0,0,0,0,83,49,32,0,0,4,7,0,1,53,43,913,0,1,0,0,4,1,1,0,0,0,0,0,13,1,0,0,0,15,1,0,76,0,5,0,0,36,0,0,0,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,4,1,0,0,0,0,23,1906,12,0,2,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,640,0,0,0,1,0,2,2,0,0,3,1,1,0,42,33,0,0,0,0,0,0,251,0,0,0,0,0,1,2,0,0,14,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,14,0,42,0,0,0,5,1,0,1549,0,2,2,0,0,0,1,3,0,1,0,0,1,0,1,0,6,0,0,0,0,0,0,5558,2,0,1,0,0,0,0,0,0,0,0
S8,1,0,1,0,1,0,1,30,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,4,1,0,0,2,0,2,0,14,0,3,0,0,0,0,1,0,0,0,0,73,31,3,0,0,7,2,0,1,30,2,192,0,1,0,0,2,0,0,0,0,1,0,0,12,0,0,0,0,10,3,1,7,0,5,0,0,15,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,1,0,1,0,0,5,2936,12,0,1,0,0,0,0,0,1,1,0,0,0,22,0,7,0,0,0,1,449,0,0,0,0,0,4,0,1,0,1,0,4,0,128,11,0,0,0,0,1,0,190,0,0,0,0,0,3,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,0,34,0,1,0,2,0,0,1378,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,4658,0,0,0,0,0,1,1,0,0,0,0
S9,0,3,1,0,0,0,0,398,0,0,0,0,0,0,1,1,0,1,0,0,7,0,1,1,0,0,2,0,8,7,0,2,0,63,0,19,0,0,0,1,9,0,0,0,0,0,0,85,75,6,0,0,3,1,0,0,107,183,1063,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,9,2,10,70,0,3,1,1,206,0,0,0,5,1,0,1,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,2,0,1,0,0,0,7,1060,1,0,2,0,0,34,0,0,0,0,0,0,0,9,0,5,0,0,0,0,1006,0,0,0,1,0,3,0,0,0,3,3,1,1,314,78,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,33,40,0,0,1,0,0,0,0,0,19,0,0,5,0,0,4,9,0,335,3,0,0,99,4,1,673,0,0,5,0,0,12,2,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,4024,0,0,0,1,0,0,0,0,0,0,1
S10,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,2,0,0,1,3,0,7,1,10,0,3,0,1,0,1,0,0,0,0,1,40,85,11,0,0,21,1,0,0,1,4,339,0,0,0,0,1,0,0,0,0,0,2,0,12,0,0,1,0,12,3,3,28,0,12,0,0,27,0,6,0,0,0,1,0,0,0,15,0,0,0,0,0,1,0,0,1,0,1,0,1,1,21,0,0,2,0,0,0,0,1,0,0,0,0,16,804,17,0,8,0,0,0,0,2,0,0,0,0,4,18,0,0,0,0,0,5,722,0,1,1,0,0,3,0,0,0,6,10,0,0,62,14,0,0,0,0,0,1,78,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,7,0,16,1,0,0,1,17,1,2443,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,46,1,0,0,0,1,0,6683,0,0,0,0,0,0,0,0,0,1,0
S11,0,5,2,0,0,0,0,57,0,0,1,0,0,0,0,5,0,0,0,1,14,0,0,0,0,0,2,9,7,1,0,0,0,1,0,81,0,1,0,3,1,0,0,0,0,0,0,105,283,65,0,1,13,0,1,0,4,34,1682,172,0,0,0,5,1,0,0,0,0,1,1,22,0,0,0,0,81,1,0,234,1,23,0,0,141,1,0,1,0,0,0,0,2,0,108,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,849,10,0,1,1,1,0,0,0,0,0,0,0,0,32,0,1,0,0,1,0,886,0,0,0,0,1,0,1,0,0,7,0,15,0,15,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,89,30,0,0,0,0,2,3,0,0,1,0,0,1,0,1,0,105,0,273,0,0,0,3,0,0,426,0,2,0,0,1,4,8,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3482,2,0,0,0,0,0,1,0,1,0,0
S12,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,1,5,0,0,0,0,0,1,6,3,1,0,2,0,1,1,140,0,1,0,2,0,0,0,0,0,2,0,523,206,110,0,0,14,1,0,0,9,116,667,104,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,35,3,2,484,0,15,0,2,98,0,0,0,0,0,0,0,0,0,68,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,14,695,3,0,2,2,0,5,0,0,0,1,0,0,0,43,0,13,0,0,0,0,856,1,0,0,0,3,1,0,0,0,9,0,5,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,3,3,110,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,112,0,178,0,0,0,4,0,0,639,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3346,29,0,0,0,0,0,0,0,0,3,0
S13,0,6,0,0,0,0,0,12,0,1,1,0,0,0,0,2,0,0,0,0,6,0,15,0,1,0,1,16,9,0,0,0,0,1,0,76,0,0,5,0,2,0,0,0,0,6,0,20,352,45,0,0,6,4,0,0,1,36,734,71,0,0,0,1,0,0,0,2,0,1,0,21,0,0,0,0,39,3,0,244,0,20,0,0,247,0,0,0,0,0,0,0,0,1,114,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,5,171,2,0,2,1,0,7,0,0,0,0,0,0,1,12,0,7,0,0,0,0,425,0,0,0,0,3,0,0,0,0,6,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,73,194,0,0,0,0,0,1,1,1,0,0,0,2,1,1,1,104,0,165,0,0,0,13,0,0,2199,0,0,0,0,0,47,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5757,3,0,0,0,0,0,0,0,0,0,0
S14,0,4,0,0,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,5,8,0,0,2,1,2,0,50,0,2,0,1,2,0,0,0,0,1,0,65,254,151,0,0,12,0,0,0,0,25,1582,7,0,0,1,5,0,0,0,2,0,1,0,10,0,0,0,0,44,2,0,601,0,5,0,1,30,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,2,2,0,0,0,1,0,0,9,0,3,0,22,419,13,1,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,2,622,0,0,0,1,0,9,0,0,1,11,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,1,2,0,0,1,14,0,0,0,2,0,0,0,0,1,1,26,1,29,0,0,0,0,1,2,1608,0,3,0,0,0,0,41,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,6205,0,0,0,0,1,0,0,2,0,0,0
S15,1,1,5,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,0,0,1,0,284,0,65,1,1,0,0,0,0,0,0,0,0,0,221,199,39,0,0,1,0,0,0,1,0,17,0,0,0,0,6,0,0,0,0,0,3,0,26,0,0,0,1,37,0,1,201,0,16,0,0,21,0,0,3,0,0,0,0,0,0,4,0,0,0,2,3,9,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,994,4,0,0,0,0,0,0,0,0,0,1,0,0,37,0,2,0,0,0,0,243,0,0,0,0,0,1,0,8,0,0,1,1,0,110,0,0,0,0,0,0,4,62,0,0,0,2,4,0,6,0,12,35,1,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,16,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,5585,0,0,0,0,0,0,0,0,0,0,0
S16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,0,10,0,89,0,152,0,0,0,0,0,1,0,2,1,0,0,262,162,35,0,0,0,0,0,0,0,2,21,0,0,1,0,0,0,0,1,0,0,3,0,37,0,1,0,0,34,0,2,125,0,18,0,0,15,0,0,0,0,0,1,0,0,0,11,1,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,1,0,0,1,5,4723,3,0,5,0,0,0,0,1,2,0,0,1,0,83,0,2,0,0,0,0,194,0,0,0,0,0,8,0,1,0,0,2,2,0,156,0,0,0,0,1,0,0,75,0,0,1,0,0,2,2,0,17,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,2,0,1,0,0,0,761,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,5363,0,0,0,1,0,1,0,0,0,0,0
S17,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,1,5,7,0,0,2,0,118,1,224,0,5,1,0,0,1,0,1,1,0,0,187,231,51,1,0,0,0,0,0,1,8,25,0,0,0,0,1,0,0,0,3,0,6,0,38,0,0,0,0,47,1,10,252,0,12,0,0,38,0,0,0,0,1,1,0,0,0,13,0,0,0,0,1,4,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,7,1,0,0,1,7,1270,0,0,1,0,0,0,1,0,2,0,0,0,0,66,0,0,1,0,0,0,170,0,0,1,3,0,9,0,0,0,0,2,5,0,235,0,0,1,0,0,0,0,86,0,1,0,0,0,2,1,2,13,32,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,22,0,0,0,0,0,0,3,0,1158,0,0,1,0,0,0,1,5,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,7292,0,1,0,0,0,0,3,0,0,0,0
S18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,123,0,58,0,0,0,0,1,0,0,0,0,0,0,118,100,78,0,0,0,0,0,0,1,0,43,0,0,0,0,1,0,0,0,3,0,0,0,79,0,0,0,0,34,0,2,358,0,18,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,18,808,2,0,2,0,0,0,0,0,0,0,0,0,0,24,0,3,1,1,0,0,150,0,0,2,0,0,6,0,0,0,0,1,3,0,47,0,1,0,1,0,0,0,10,0,0,0,0,0,1,1,1,12,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,1023,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,5545,0,0,0,0,1,0,0,0,0,0,0
